country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
Algeria,,,,,,,,,2,6,1,1,0,,,,,
Angola,,,,,,,,,,25572,13376,9473,14434,38598,12459,13768,10220,
Benin,,,,,,,,,682,544,740,468,707,560,944,322,1392,
Botswana,,,,,,,,141,23,49,30,27,23,18,19,11,42,
Burkina Faso,0,0,0,0,0,0,0,0,2624,2808,2740,4233,4032,4860,4205,5224,8083,
Burundi,0,0,0,0,0,0,0,0,0,0,579,417,483,425,707,1942,434,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,930,
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,7,
Central African Republic,0,0,0,0,0,0,0,0,374,484,0,535,0,417,859,668,865,
Chad,0,0,0,0,0,0,0,0,0,0,0,936,944,970,0,0,815,
Comoros,0,0,0,0,0,0,0,0,0,50,82,16,0,0,28,92,56,
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,
Cote d'Ivoire,0,0,0,0,0,0,0,0,1337,974,730,0,0,0,0,0,0,
CongoDem,0,0,0,0,0,0,0,0,0,0,2540,0,1928,16498,0,0,24347,
Eritrea,0,0,0,0,0,0,0,0,404,169,94,129,85,70,16,32,17,
Ethiopia,0,0,0,0,0,0,0,0,0,0,1105,1681,1607,2138,3327,1086,1357,
Gabon,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,474,79,
Ghana,0,0,0,0,0,0,0,0,2798,2826,3230,1717,1917,1680,1260,1759,2832,
Guinea,0,0,0,0,0,0,0,0,13,13,441,517,440,586,528,490,0,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,1065,635,780,1137,565,565,507,
Kenya,0,0,0,0,0,0,0,0,665,1545,683,0,135,0,0,0,0,
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,877,
Madagascar,0,0,0,0,0,0,0,0,0,640,591,1300,1268,1091,1194,1407,590,
Malawi,57649,0,0,0,0,0,0,35982,0,4747,7139,3355,5775,4767,3457,5070,7132,
Mali,0,0,0,0,0,0,0,0,0,583,748,562,826,1309,1012,1285,1914,
Mauritania,0,0,0,0,0,0,0,0,279,525,491,337,100,0,0,0,67,
Mozambique,0,0,0,0,0,0,0,0,896,1189,1371,3400,4214,3488,4150,4209,5042,
Namibia,0,0,0,0,0,250,469,547,404,531,918,1728,1504,1106,1185,1325,571,
Niger,0,0,0,0,0,0,0,1018,1823,2165,1009,4018,2433,3135,1382,9958,2570,
Nigeria,2284,1947,1068,710,1686,3268,4773,4603,6197,4123,5667,4317,4092,5343,6032,6494,6586,
Rwanda,0,0,0,0,0,0,0,0,2736,1881,2678,4301,3200,2707,2365,2587,2347,
Sao Tome and Principe,0,0,0,0,0,0,0,0,154,0,0,248,321,193,168,85,26,
Senegal,0,0,0,0,0,0,0,1205,1029,1235,1337,1515,1226,1602,1524,1587,1678,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,280,428,112,98,36,70,
South Africa,35,19,14,45,12,44,163,104,198,406,458,119,96,142,89,64,87,
Swaziland,0,0,0,0,0,0,0,0,109,149,0,55,53,30,28,17,15,
Togo,0,0,0,0,0,0,0,0,475,766,883,1394,1661,1130,1183,1024,819,
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,8450,0,77000,47000,
Tanzania,0,0,0,0,0,0,0,0,0,0,0,838,441,14943,19547,18075,20782,
